,Unnamed: 0.1,Unnamed: 0_x,Website,Connection Establishment Time_x,RTT_x,Initial Response_x,Latency_x,Page Load Time_x,Dependency Load Time_x,Page Size_x,IP_x,City_x,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type_x,Unnamed: 0_y,Connection Establishment Time_y,RTT_y,Initial Response_y,Latency_y,Page Load Time_y,Dependency Load Time_y,Page Size_y,IP_y,City_y,Without WASM RTT,Without WASM Durations,Without WASM Sizes,Website Type_y,Unnamed: 0,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Website Type
1299,1313,1396,calculator.net,595.229625701904,71.0418224334717,196.0,35.5209112167358,1863.0,1173.0,11466.0,193.19.204.134,Nicosia,Cyprus,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1396,581.219673156738,93.2304859161377,196.0,46.6152429580689,1651.0,1034.0,11466.0,193.19.204.203,Nicosia,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,1396,663.183927536011,77.2407054901123,195.0,38.6203527450562,3346.0,2668.0,11466.0,193.19.204.204,Nicosia,Other
1300,1314,1398,www2.hm.com,232.543230056763,69.4835186004639,478.0,34.7417593002319,4492.0,2521.0,1444433.0,193.19.204.134,Nicosia,Cyprus,69,1019,362846,Other,1398,228.032112121582,65.2263164520264,137.0,32.6131582260132,3794.0,1996.0,1440194.0,193.19.204.203,Nicosia,64,903,362846,Other,1398,229.36749458313,73.0698108673096,231.0,36.5349054336548,3413.0,2098.0,1454791.0,193.19.204.204,Nicosia,Other
1303,1317,1401,facebook.com,49.4894981384277,19.3080902099609,263.0,9.65404510498047,1975.0,1685.0,132851.0,87.249.135.50,Prague,Czech_Republic,58,9123,49750126,Social Media Sites,1401,47.3005771636963,21.0957527160645,141.0,10.5478763580322,8359.0,3752.0,129490.0,2.56.253.101,Prague,29,6837,46591395,Social Media Sites,1401,99.1566181182861,41.3155555725098,195.0,20.6577777862549,1053.0,717.0,131921.0,2.56.253.97,Prague,Social Media Sites
1304,1318,1402,amazon.com,388.468027114868,19.538402557373,491.0,9.76920127868652,2302.0,1568.0,802625.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms,1402,410.977840423584,20.7774639129639,597.0,10.3887319564819,1475.0,1037.0,202376.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",E-commerce Platforms,1402,443.5875415802,76.214075088501,572.0,38.1070375442505,2092.0,1499.0,738526.0,2.56.253.97,Prague,E-commerce Platforms
1305,1319,1403,imdb.com,428.588151931763,19.6137428283691,1394.0,9.80687141418457,5570.0,2186.0,696049.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Entertainment Websites,1403,402.988195419312,21.4400291442871,1641.0,10.7200145721436,4359.0,2746.0,730365.0,2.56.253.101,Prague,25,79,3667,Entertainment Websites,1403,434.46946144104,40.938138961792,1203.0,20.469069480896,4609.0,2460.0,710884.0,2.56.253.97,Prague,Entertainment Websites
1306,1320,1404,apple.com,63.9278888702393,18.338680267334,51.0,9.16934013366699,1062.0,505.0,182460.0,87.249.135.50,Prague,Czech_Republic,18,135,86533,Other,1404,66.3888454437256,20.8156108856201,34.0,10.4078054428101,959.0,510.0,182421.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,1404,67.6488876342773,22.6454734802246,33.0,11.3227367401123,1140.0,446.0,258024.0,2.56.253.97,Prague,Other
1307,1321,1405,merriam-webster.com,45.9845066070557,21.4707851409912,48.0,10.7353925704956,2161.0,392.0,265876.0,87.249.135.50,Prague,Czech_Republic,19,2358,6192129,Educational Websites,1405,46.0348129272461,21.7461585998535,53.0,10.8730792999268,3075.0,424.0,267529.0,2.56.253.101,Prague,24,3223,12928134,Educational Websites,1405,49.6103763580322,19.9856758117676,79.0,9.99283790588379,1788.0,461.0,266591.0,2.56.253.97,Prague,Educational Websites
1308,1322,1406,pinterest.com,60.6727600097656,19.2151069641113,272.0,9.60755348205566,917.0,912.0,260843.0,87.249.135.50,Prague,Czech_Republic,0,251,657028,Social Media Sites,1406,65.0410652160645,21.4755535125732,252.0,10.7377767562866,723.0,717.0,261118.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Social Media Sites,1406,75.1864910125732,30.2777290344238,248.0,15.1388645172119,1035.0,1034.0,264216.0,2.56.253.97,Prague,Social Media Sites
1309,1323,1407,yelp.com,76.9293308258057,39.9489402770996,972.0,19.9744701385498,3047.0,2896.0,130010.0,87.249.135.50,Prague,Czech_Republic,0,156,305220,Other,1407,84.5258235931397,25.7902145385742,606.0,12.8951072692871,2456.0,2228.0,129593.0,2.56.253.101,Prague,0,127,305220,Other,1407,112.832307815552,44.1868305206299,1120.0,22.0934152603149,3432.0,3370.0,137558.0,2.56.253.97,Prague,Other
1310,1324,1408,tripadvisor.com,63.7798309326172,19.512414932251,252.0,9.75620746612549,951.0,656.0,406754.0,87.249.135.50,Prague,Czech_Republic,0,137,305220,Other,1408,,,,,,,,2.56.253.101,Prague,,,,Other,1408,,,,,,,,2.56.253.97,Prague,Other
1312,1326,1410,dictionary.com,88.665246963501,19.6402072906494,37.0,9.82010364532471,1468.0,447.0,205823.0,87.249.135.50,Prague,Czech_Republic,0,919,3327266,Educational Websites,1410,95.6554412841797,22.1831798553467,32.0,11.0915899276733,2355.0,566.0,207749.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites,1410,138.570070266724,60.1367950439453,55.0,30.0683975219727,1865.0,697.0,206871.0,2.56.253.97,Prague,Educational Websites
1314,1328,1412,cambridge.org,64.1689300537109,19.4587707519531,130.0,9.72938537597656,1064.0,655.0,286348.0,87.249.135.50,Prague,Czech_Republic,0,153,293293,Educational Websites,1412,72.0210075378418,20.9791660308838,145.0,10.4895830154419,1359.0,951.0,286058.0,2.56.253.101,Prague,0,384,586586,Educational Websites,1412,66.842794418335,19.1285610198975,90.0,9.56428050994873,1280.0,562.0,319510.0,2.56.253.97,Prague,Educational Websites
1315,1329,1413,britannica.com,388.526916503906,19.7527408599854,242.0,9.87637042999268,3838.0,695.0,153754.0,87.249.135.50,Prague,Czech_Republic,80,4858,14886306,Educational Websites,1413,393.296718597412,22.2830772399902,558.0,11.1415386199951,5457.0,995.0,153154.0,2.56.253.101,Prague,156,5641,21319421,Educational Websites,1413,429.112672805786,20.3170776367187,243.0,10.1585388183594,3308.0,630.0,152410.0,2.56.253.97,Prague,Educational Websites
1316,1330,1414,weather.com,42.7207946777344,20.5965042114258,54.0,10.2982521057129,2084.0,514.0,776957.0,87.249.135.50,Prague,Czech_Republic,59,729,2176718,Other,1414,46.7636585235596,21.0127830505371,44.0,10.5063915252686,1265.0,467.0,750405.0,2.56.253.101,Prague,48,571,2172908,Other,1414,48.2077598571777,20.0181007385254,58.0,10.0090503692627,1173.0,427.0,827421.0,2.56.253.97,Prague,Other
1317,1332,1416,walmart.com,131.934881210327,20.5214023590088,130.0,10.2607011795044,2250.0,322.0,179545.0,87.249.135.50,Prague,Czech_Republic,19,4818,10205268,E-commerce Platforms,1416,46.9920635223389,22.3898887634277,57.0,11.1949443817139,1748.0,262.0,183625.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms,1416,44.0845489501953,20.878791809082,633.0,10.439395904541,4001.0,794.0,183416.0,2.56.253.97,Prague,E-commerce Platforms
1318,1333,1417,espn.com,46.5915203094482,19.5045471191406,399.0,9.75227355957031,3939.0,3032.0,1098107.0,87.249.135.50,Prague,Czech_Republic,0,276,1342251,Other,1417,50.1580238342285,23.6594676971436,379.0,11.8297338485718,14359.0,2373.0,1553401.0,2.56.253.101,Prague,250,13474,21488721,Other,1417,47.6031303405762,20.343542098999,386.0,10.1717710494995,6195.0,2176.0,2006151.0,2.56.253.97,Prague,Other
1319,1334,1418,linkedin.com,136.944532394409,19.5367336273193,327.0,9.76836681365967,798.0,594.0,145080.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites,1418,105.415105819702,24.0042209625244,313.0,12.0021104812622,941.0,576.0,144684.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Social Media Sites,1418,110.882520675659,22.2699642181396,442.0,11.1349821090698,942.0,685.0,145086.0,2.56.253.97,Prague,Social Media Sites
1320,1335,1419,homedepot.com,44.9676513671875,22.036075592041,39.0,11.0180377960205,211.0,211.0,226.0,87.249.135.50,Prague,Czech_Republic,19,128,74651,Other,1419,50.8925914764404,21.9378471374512,32.0,10.9689235687256,246.0,246.0,226.0,2.56.253.101,Prague,23,141,74651,Other,1419,69.3237781524658,23.512601852417,34.0,11.7563009262085,115.0,111.0,226.0,2.56.253.97,Prague,Other
1321,1336,1420,espncricinfo.com,672.658205032349,19.6349620819092,46.0,9.81748104095459,1559.0,912.0,568056.0,87.249.135.50,Prague,Czech_Republic,20,817,3164792,Other,1420,664.500236511231,20.9708213806152,25.0,10.4854106903076,1885.0,894.0,580192.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,1420,656.021595001221,23.3237743377686,25.0,11.6618871688843,1835.0,868.0,488825.0,2.56.253.97,Prague,Other
1322,1337,1421,craigslist.org,348.950862884521,19.6382999420166,118.0,9.8191499710083,1938.0,1008.0,52045.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1421,360.121726989746,20.9305286407471,124.0,10.4652643203735,2018.0,1064.0,51905.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,1421,1471.37761116028,23.9174365997314,131.0,11.9587182998657,2389.0,1389.0,52115.0,2.56.253.97,Prague,Other
1323,1338,1422,xnxx.com,145.643711090088,19.4599628448486,115.0,9.72998142242432,1760.0,1253.0,200815.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1422,144.03772354126,20.843505859375,110.0,10.4217529296875,1102.0,792.0,205127.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,1422,162.669658660889,27.0023345947266,110.0,13.5011672973633,2276.0,1742.0,205184.0,2.56.253.97,Prague,Other
1324,1339,1423,gsmarena.com,73.08030128479,49.2827892303467,28.0,24.6413946151733,2660.0,599.0,78615.0,87.249.135.50,Prague,Czech_Republic,0,1577,2566235,Other,1423,77.5268077850342,23.6515998840332,35.0,11.8257999420166,6672.0,718.0,78717.0,2.56.253.101,Prague,0,460,2566235,Other,1423,123.787403106689,32.893180847168,38.0,16.446590423584,2666.0,1212.0,79207.0,2.56.253.97,Prague,Other
1325,1340,1424,mayoclinic.org,437.176942825317,20.6024646759033,116.0,10.3012323379517,6491.0,1458.0,557844.0,87.249.135.50,Prague,Czech_Republic,25,3241,11483224,Health and Medical Websites,1424,440.558910369873,21.3475227355957,123.0,10.6737613677979,7659.0,870.0,557843.0,2.56.253.101,Prague,47,4181,12900589,Health and Medical Websites,1424,486.068964004517,96.278190612793,358.0,48.1390953063965,8459.0,1396.0,557845.0,2.56.253.97,Prague,Health and Medical Websites
1326,1341,1425,cricbuzz.com,334.112167358398,19.4380283355713,257.0,9.71901416778564,850.0,384.0,138447.0,87.249.135.50,Prague,Czech_Republic,24,989,3278538,Other,1425,350.138425827026,24.0228176116943,241.0,12.0114088058472,2648.0,364.0,136557.0,2.56.253.101,Prague,21,1980,7305368,Other,1425,407.041549682617,76.0698318481445,26.0,38.0349159240723,538.0,166.0,125267.0,2.56.253.97,Prague,Other
1327,1342,1426,timeanddate.com,263.647556304932,20.8406448364258,54.0,10.4203224182129,893.0,400.0,65786.0,87.249.135.50,Prague,Czech_Republic,0,766,2398347,Other,1426,256.976127624512,22.7992534637451,46.0,11.3996267318726,1857.0,386.0,67053.0,2.56.253.101,Prague,0,818,2398347,Other,1426,659.075736999512,186.829805374146,184.0,93.4149026870728,1810.0,1602.0,66012.0,2.56.253.97,Prague,Other
1328,1343,1427,webmd.com,352.292776107788,20.2951431274414,316.0,10.1475715637207,1543.0,888.0,416680.0,87.249.135.50,Prague,Czech_Republic,19,293,357522,Health and Medical Websites,1427,365.483999252319,21.1031436920166,71.0,10.5515718460083,1149.0,755.0,291270.0,2.56.253.101,Prague,41,407,408003,Health and Medical Websites,1427,346.334457397461,22.6919651031494,87.0,11.3459825515747,4766.0,3183.0,411761.0,2.56.253.97,Prague,Health and Medical Websites
1330,1345,1429,whatsapp.com,45.8400249481201,19.1617012023926,535.0,9.58085060119629,1579.0,1200.0,279513.0,87.249.135.50,Prague,Czech_Republic,182,7788,29741754,Other,1429,88.6802673339844,20.7476615905762,460.0,10.3738307952881,3776.0,1953.0,280025.0,2.56.253.101,Prague,455,10698,39134544,Other,1429,52.0210266113281,22.3650932312012,552.0,11.1825466156006,1344.0,940.0,280165.0,2.56.253.97,Prague,Other
1332,1347,1431,bbc.com,58.0501556396484,19.6382999420166,44.0,9.8191499710083,1362.0,878.0,226542.0,87.249.135.50,Prague,Czech_Republic,19,129,44355,News Websites,1431,65.5922889709473,21.226167678833,61.0,10.6130838394165,1943.0,1119.0,224053.0,2.56.253.101,Prague,20,131,44355,News Websites,1431,60.4157447814941,19.7708606719971,46.0,9.88543033599854,4034.0,1289.0,216191.0,2.56.253.97,Prague,News Websites
1333,1348,1432,bestbuy.com,106.268882751465,20.9777355194092,216.0,10.4888677597046,745.0,545.0,6928.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms,1432,93.4920310974121,20.8616256713867,89.0,10.4308128356934,555.0,422.0,6923.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",E-commerce Platforms,1432,59.5719814300537,19.1397666931152,179.0,9.56988334655762,587.0,473.0,6925.0,2.56.253.97,Prague,E-commerce Platforms
1334,1349,1433,healthline.com,119.998931884766,22.028923034668,665.0,11.014461517334,3277.0,1003.0,310463.0,87.249.135.50,Prague,Czech_Republic,20,207,191643,Health and Medical Websites,1433,51.0714054107666,24.8973369598389,678.0,12.4486684799194,7235.0,1058.0,358818.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites,1433,50.4884719848633,20.4496383666992,258.0,10.2248191833496,4404.0,619.0,233572.0,2.56.253.97,Prague,Health and Medical Websites
1335,1350,1434,netflix.com,143.410682678223,18.9294815063477,442.0,9.46474075317383,3453.0,2687.0,478325.0,87.249.135.50,Prague,Czech_Republic,58,12187,55315776,Entertainment Websites,1434,128.06510925293,22.9282379150391,435.0,11.4641189575195,7279.0,5118.0,484209.0,2.56.253.101,Prague,56,9133,55312182,Entertainment Websites,1434,228.753328323364,102.219820022583,290.0,51.1099100112915,1773.0,1312.0,359132.0,2.56.253.97,Prague,Entertainment Websites
1336,1351,1435,indeed.com,59.9238872528076,19.1659927368164,106.0,9.5829963684082,1502.0,923.0,194015.0,87.249.135.50,Prague,Czech_Republic,19,169,271088,Other,1435,47.5857257843018,21.2604999542236,116.0,10.6302499771118,3198.0,1234.0,236303.0,2.56.253.101,Prague,96,2061,6801446,Other,1435,43.4958934783936,21.0270881652832,136.0,10.5135440826416,2846.0,2105.0,241858.0,2.56.253.97,Prague,Other
1337,1352,1436,thefreedictionary.com,303.548097610474,28.0208587646484,132.0,14.0104293823242,3656.0,880.0,1423740.0,87.249.135.50,Prague,Czech_Republic,0,8444,13800365,Educational Websites,1436,298.061370849609,22.9895114898682,164.0,11.4947557449341,3949.0,1108.0,1422284.0,2.56.253.101,Prague,64,2675,9348277,Educational Websites,1436,679.047107696533,33.8330268859863,287.0,16.9165134429932,4011.0,1285.0,1422261.0,2.56.253.97,Prague,Educational Websites
1338,1353,1437,xvideos.com,113.986253738403,19.6008682250977,111.0,9.80043411254883,1178.0,858.0,123573.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1437,126.798152923584,20.7347869873047,118.0,10.3673934936523,1122.0,801.0,141432.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,1437,115.861654281616,23.730993270874,123.0,11.865496635437,1113.0,722.0,140418.0,2.56.253.97,Prague,Other
1339,1354,1438,spotify.com,69.2353248596191,19.4482803344727,92.0,9.72414016723633,2637.0,1307.0,78809.0,87.249.135.50,Prague,Czech_Republic,38,2879,9707725,Entertainment Websites,1438,72.7529525756836,21.4798450469971,76.0,10.7399225234985,3984.0,1526.0,90170.0,2.56.253.101,Prague,26,1579,8211215,Entertainment Websites,1438,68.5906410217285,20.3306674957275,74.0,10.1653337478638,1797.0,1038.0,75075.0,2.56.253.97,Prague,Entertainment Websites
1340,1355,1439,livescore.com,46.893835067749,19.4454193115234,21.0,9.72270965576172,1291.0,460.0,250848.0,87.249.135.50,Prague,Czech_Republic,54,1594,2404122,Other,1439,48.5966205596924,28.2950401306152,22.0,14.1475200653076,2203.0,532.0,254814.0,2.56.253.101,Prague,71,1179,2400270,Other,1439,48.4766960144043,21.0835933685303,46.0,10.5417966842651,1177.0,549.0,244052.0,2.56.253.97,Prague,Other
1341,1356,1440,ebay.com,335.646629333496,19.9048519134521,293.0,9.95242595672607,1817.0,1065.0,261443.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms,1440,371.63782119751,21.2693214416504,289.0,10.6346607208252,1770.0,971.0,262318.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",E-commerce Platforms,1440,382.065057754517,25.1178741455078,342.0,12.5589370727539,2984.0,2163.0,261595.0,2.56.253.97,Prague,E-commerce Platforms
1342,1357,1441,pornhub.com,73.0316638946533,21.2347507476807,167.0,10.6173753738403,2757.0,898.0,670743.0,87.249.135.50,Prague,Czech_Republic,0,3129,10036126,Other,1441,84.679126739502,22.2363471984863,234.0,11.1181735992432,2376.0,960.0,666664.0,2.56.253.101,Prague,25,1256,4958769,Other,1441,75.5381584167481,19.7341442108154,213.0,9.86707210540772,1608.0,1045.0,664820.0,2.56.253.97,Prague,Other
1343,1358,1442,ytmp3.cc,586.674690246582,19.7525024414063,201.0,9.87625122070313,2598.0,1646.0,164972.0,87.249.135.50,Prague,Czech_Republic,0,2630,7613738,Other,1442,633.564949035645,21.2090015411377,206.0,10.6045007705688,3808.0,1548.0,164506.0,2.56.253.101,Prague,42,3444,13936691,Other,1442,630.745649337769,21.1689472198486,205.0,10.5844736099243,3904.0,3267.0,168581.0,2.56.253.97,Prague,Other
1344,1359,1444,nih.gov,382.379055023193,19.3977355957031,151.0,9.69886779785156,1885.0,773.0,81225.0,87.249.135.50,Prague,Czech_Republic,68,2332,5115737,Health and Medical Websites,1444,383.674621582031,21.3418006896973,160.0,10.6709003448486,2564.0,660.0,81118.0,2.56.253.101,Prague,63,3724,11121806,Health and Medical Websites,1444,404.78253364563,20.606517791748,160.0,10.303258895874,2299.0,677.0,81118.0,2.56.253.97,Prague,Health and Medical Websites
1346,1361,1446,steampowered.com,47.3690032958984,19.7608470916748,64.0,9.8804235458374,1222.0,928.0,490508.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1446,63.8561248779297,27.0845890045166,16.0,13.5422945022583,1266.0,770.0,500804.0,2.56.253.101,Prague,0,576,32808,Other,1446,71.5122222900391,35.4695320129395,30.0,17.7347660064697,1572.0,794.0,551488.0,2.56.253.97,Prague,Other
1347,1362,1447,investopedia.com,61.6919994354248,19.2108154296875,7089.0,9.60540771484375,7228.0,7222.0,147.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites,1447,65.7374858856201,20.5450057983398,6299.0,10.2725028991699,6475.0,6469.0,147.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Financial Websites,1447,65.3603076934814,20.9255218505859,6162.0,10.462760925293,6293.0,6284.0,147.0,2.56.253.97,Prague,Financial Websites
1350,1365,1450,blog.google,82.9176902770996,19.6764469146729,230.0,9.83822345733643,3020.0,796.0,311292.0,87.249.135.50,Prague,Czech_Republic,265,17273,23777908,Other,1450,88.2031917572022,20.8137035369873,213.0,10.4068517684937,5278.0,827.0,310950.0,2.56.253.101,Prague,174,19480,26927146,Other,1450,100.057601928711,20.1389789581299,222.0,10.0694894790649,1754.0,1065.0,306040.0,2.56.253.97,Prague,Other
1351,1366,1451,cnbc.com,351.654767990112,21.7955112457275,146.0,10.8977556228638,824.0,408.0,2314273.0,87.249.135.50,Prague,Czech_Republic,0,205,305220,News Websites,1451,316.364765167236,28.7883281707764,141.0,14.3941640853882,785.0,428.0,2299435.0,2.56.253.101,Prague,0,161,55071,News Websites,1451,346.895217895508,50.7915019989014,136.0,25.3957509994507,963.0,579.0,2310394.0,2.56.253.97,Prague,News Websites
1352,1367,1452,indiatimes.com,45.2923774719238,20.4648971557617,27.0,10.2324485778809,7840.0,404.0,819092.0,87.249.135.50,Prague,Czech_Republic,385,33629,41850946,Other,1452,56.0355186462402,20.9698677062988,28.0,10.4849338531494,8479.0,445.0,831116.0,2.56.253.101,Prague,289,16665,41867294,Other,1452,49.0806102752686,19.9310779571533,27.0,9.96553897857666,8423.0,224.0,816740.0,2.56.253.97,Prague,Other
1353,1368,1453,roblox.com,237.658977508545,19.2201137542725,172.0,9.61005687713623,1514.0,1191.0,95596.0,87.249.135.50,Prague,Czech_Republic,19,162,187846,Gaming Websites,1453,238.767623901367,21.6164588928223,182.0,10.8082294464111,1538.0,1221.0,95598.0,2.56.253.101,Prague,22,198,187846,Gaming Websites,1453,280.18856048584,56.3068389892578,231.0,28.1534194946289,1685.0,1422.0,95598.0,2.56.253.97,Prague,Gaming Websites
1354,1369,1454,flashscore.com,43.47825050354,19.4051265716553,35.0,9.70256328582764,758.0,585.0,298162.0,87.249.135.50,Prague,Czech_Republic,66,622,608409,Other,1454,65.6638145446777,20.4851627349854,41.0,10.2425813674927,855.0,637.0,298139.0,2.56.253.101,Prague,102,863,1668961,Other,1454,43.8363552093506,18.9840793609619,44.0,9.49203968048096,678.0,556.0,305657.0,2.56.253.97,Prague,Other
1355,1370,1455,thepiratebay.org,48.9485263824463,20.8044052124023,697.0,10.4022026062012,1745.0,1733.0,4892.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1455,55.1445484161377,25.8166790008545,703.0,12.9083395004272,1573.0,1394.0,4890.0,2.56.253.101,Prague,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,1455,95.9439277648926,35.3202819824219,701.0,17.6601409912109,1697.0,1684.0,4892.0,2.56.253.97,Prague,Other
1357,1372,1457,speedtest.net,85.3135585784912,19.1380977630615,193.0,9.56904888153076,1863.0,560.0,153421.0,87.249.135.50,Prague,Czech_Republic,33,2653,6590761,Other,1457,88.8462066650391,24.0707397460937,127.0,12.0353698730469,3130.0,493.0,196415.0,2.56.253.101,Prague,92,5137,8967076,Other,1457,122.412443161011,21.0762023925781,126.0,10.5381011962891,1976.0,578.0,153470.0,2.56.253.97,Prague,Other
1359,1374,1459,unsplash.com,86.7273807525635,18.5525417327881,30.0,9.27627086639404,2603.0,738.0,378286.0,87.249.135.50,Prague,Czech_Republic,35,429,1510139,Other,1459,90.1510715484619,21.3522911071777,33.0,10.6761455535889,2327.0,717.0,392071.0,2.56.253.101,Prague,25,1300,6476566,Other,1459,110.353231430054,20.5764770507812,51.0,10.2882385253906,1984.0,987.0,389131.0,2.56.253.97,Prague,Other
1360,1375,1460,lowes.com,,,,,,,,87.249.135.50,Prague,Czech_Republic,,,,Other,1460,,,,,,,,2.56.253.101,Prague,,,,Other,1460,,,,,,,,2.56.253.97,Prague,Other
1361,1376,1461,vocabulary.com,52.8278350830078,19.3080902099609,432.0,9.65404510498047,1718.0,1337.0,44538.0,87.249.135.50,Prague,Czech_Republic,0,879,4484178,Other,1461,50.7259368896484,21.0728645324707,420.0,10.5364322662354,2725.0,1369.0,45283.0,2.56.253.101,Prague,0,1764,10463082,Other,1461,72.2391605377197,30.2858352661133,461.0,15.1429176330566,2106.0,1615.0,44537.0,2.56.253.97,Prague,Other
1362,1377,1462,mcdonalds.com,263.447046279907,19.6840763092041,91.0,9.84203815460205,2214.0,1547.0,265423.0,87.249.135.50,Prague,Czech_Republic,0,1173,3438097,Other,1462,262.991428375244,21.1334228515625,57.0,10.5667114257813,3190.0,2582.0,265415.0,2.56.253.101,Prague,165,1377,3613998,Other,1462,299.640893936157,32.4499607086182,54.0,16.2249803543091,1863.0,1090.0,268667.0,2.56.253.97,Prague,Other
1363,1378,1463,deepl.com,143.622636795044,19.3617343902588,119.0,9.68086719512939,1216.0,956.0,227909.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other,1463,150.32434463501,21.9686031341553,155.0,10.9843015670776,1156.0,950.0,228128.0,2.56.253.101,Prague,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other,1463,132.998943328857,19.9894905090332,119.0,9.9947452545166,1086.0,931.0,229483.0,2.56.253.97,Prague,Other
1364,1379,1465,bloomberg.com,313.291788101196,26.2799263000488,30.0,13.1399631500244,731.0,385.0,14423.0,87.249.135.50,Prague,Czech_Republic,19,264,963852,Financial Websites,1465,264.389514923096,20.6286907196045,46.0,10.3143453598022,1952.0,622.0,14807.0,2.56.253.101,Prague,20,264,963852,Financial Websites,1465,304.354429244995,20.0555324554443,29.0,10.0277662277222,522.0,110.0,14423.0,2.56.253.97,Prague,Financial Websites
1365,1380,1466,forbes.com,84.6588611602783,18.686056137085,29.0,9.34302806854248,1094.0,565.0,595975.0,87.249.135.50,Prague,Czech_Republic,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites,1466,95.8743095397949,21.1131572723389,478.0,10.5565786361694,1525.0,1090.0,596581.0,2.56.253.101,Prague,40,207,46835,Financial Websites,1466,87.7172946929932,20.1325416564941,37.0,10.0662708282471,1059.0,613.0,600331.0,2.56.253.97,Prague,Financial Websites
