,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
84,88,digitaltrends.com,138.482570648193,45.6132888793945,69.0,22.8066444396973,29370.0,1105.0,638222.0,31.171.155.229,Tirana,Albania,185,8134,14524393,Other
86,90,nintendo.com,658.085584640503,46.9386577606201,53.0,23.4693288803101,2393.0,1286.0,760914.0,31.171.155.229,Tirana,Albania,46,531,326883,Gaming Websites
89,93,decathlon.com,132.092475891113,45.743465423584,67.0,22.871732711792,2386.0,1580.0,1193378.0,31.171.155.229,Tirana,Albania,94,4067,3726976,Other
95,101,facebook.com,494.725227355957,241.379737854004,517.0,120.689868927002,9028.0,8507.0,67339.0,103.50.33.167,Buenos Aires,Argentina,241,45952,37115202,Social Media Sites
96,102,amazon.com,1172.93763160706,242.726802825928,745.0,121.363401412964,7489.0,4136.0,893149.0,103.50.33.167,Buenos Aires,Argentina,240,1792,158204,E-commerce Platforms
97,103,imdb.com,1198.55856895447,241.496562957764,1599.0,120.748281478882,18555.0,5029.0,705819.0,103.50.33.167,Buenos Aires,Argentina,242,876,3667,Entertainment Websites
100,106,pinterest.com,503.316164016724,240.433216094971,531.0,120.216608047485,3564.0,3558.0,261199.0,103.50.33.167,Buenos Aires,Argentina,240,1952,73813,Social Media Sites
101,107,yelp.com,548.351764678955,240.893363952637,800.0,120.446681976318,4180.0,4175.0,109539.0,103.50.33.167,Buenos Aires,Argentina,251,5167,4935479,Other
103,109,wiktionary.org,829.264402389526,335.000991821289,476.0,167.500495910645,2220.0,2157.0,61262.0,103.50.33.167,Buenos Aires,Argentina,240,1418,49888,Other
104,110,dictionary.com,756.329774856567,240.446805953979,425.0,120.22340297699,32938.0,3363.0,246612.0,103.50.33.167,Buenos Aires,Argentina,987,144262,30436349,Educational Websites
105,111,yahoo.com,796.942949295044,246.753215789795,474.0,123.376607894897,10168.0,5169.0,1055940.0,103.50.33.167,Buenos Aires,Argentina,2405,18851,1998883,Other
107,113,britannica.com,1201.42102241516,241.252183914185,532.0,120.626091957092,60904.0,3277.0,167683.0,103.50.33.167,Buenos Aires,Argentina,1934,72326,37186940,Educational Websites
108,114,weather.com,521.23498916626,241.08624458313,334.0,120.543122291565,4976.0,2940.0,800921.0,103.50.33.167,Buenos Aires,Argentina,979,15748,4266558,Other
110,116,walmart.com,498.584032058716,240.739345550537,298.0,120.369672775269,8011.0,2331.0,17157.0,103.50.33.167,Buenos Aires,Argentina,241,1908,230104,E-commerce Platforms
111,117,espn.com,497.008562088013,297.338485717773,701.0,148.669242858887,33115.0,7081.0,491625.0,103.50.33.167,Buenos Aires,Argentina,729,30877,25123018,Other
112,118,linkedin.com,823.484659194946,297.530889511108,590.0,148.765444755554,3962.0,1523.0,131487.0,103.50.33.167,Buenos Aires,Argentina,240,1419,58341,Social Media Sites
114,120,espncricinfo.com,1917.15955734253,304.124355316162,361.0,152.062177658081,13463.0,4902.0,511881.0,103.50.33.167,Buenos Aires,Argentina,724,9961,6112705,Other
118,124,mayoclinic.org,1262.11953163147,240.914106369019,1042.0,120.457053184509,11324.0,3784.0,557846.0,103.50.33.167,Buenos Aires,Argentina,966,22898,12530438,Health and Medical Websites
119,125,cricbuzz.com,1205.98149299622,250.263452529907,500.0,125.131726264954,12811.0,1330.0,144784.0,103.50.33.167,Buenos Aires,Argentina,1209,32089,23582558,Other
120,126,timeanddate.com,768.417358398438,241.884708404541,409.0,120.942354202271,42901.0,2111.0,69798.0,103.50.33.167,Buenos Aires,Argentina,978,51601,14165934,Other
121,127,webmd.com,1245.81480026245,241.511583328247,499.0,120.755791664124,50481.0,3913.0,307906.0,103.50.33.167,Buenos Aires,Argentina,1217,276150,40601038,Health and Medical Websites
122,128,thesaurus.com,737.65230178833,270.272016525269,243.0,135.136008262634,16740.0,3297.0,242475.0,103.50.33.167,Buenos Aires,Argentina,1462,47057,22709582,Other
124,130,rottentomatoes.com,559.784173965454,322.668552398682,305.0,161.334276199341,4691.0,2888.0,336906.0,103.50.33.167,Buenos Aires,Argentina,722,6650,482058,Entertainment Websites
125,131,bbc.com,496.038436889648,241.175889968872,251.0,120.587944984436,8351.0,5275.0,214359.0,103.50.33.167,Buenos Aires,Argentina,744,5660,164843,News Websites
126,132,bestbuy.com,895.295143127441,240.66948890686,1739.0,120.33474445343,10234.0,4151.0,417782.0,103.50.33.167,Buenos Aires,Argentina,1326,10122,2800575,E-commerce Platforms
128,134,netflix.com,1828.96184921265,240.752220153809,1144.0,120.376110076904,15054.0,7499.0,454759.0,103.50.33.167,Buenos Aires,Argentina,482,8065,10088563,Entertainment Websites
129,135,indeed.com,491.064071655273,243.721008300781,454.0,121.860504150391,10499.0,6179.0,195289.0,103.50.33.167,Buenos Aires,Argentina,240,9038,6681581,Other
130,136,thefreedictionary.com,1415.15779495239,240.998268127441,560.0,120.499134063721,47918.0,2907.0,191777.0,103.50.33.167,Buenos Aires,Argentina,1204,134245,43320810,Educational Websites
131,137,xvideos.com,1406.39567375183,242.767333984375,524.0,121.383666992188,9533.0,4655.0,1305441.0,103.50.33.167,Buenos Aires,Argentina,243,1150,20683,Other
133,139,livescore.com,495.391607284546,241.097688674927,472.0,120.548844337463,8784.0,2812.0,259377.0,103.50.33.167,Buenos Aires,Argentina,1118,3345,1056096,Other
134,140,ebay.com,958.974123001099,289.169073104858,579.0,144.584536552429,8137.0,4338.0,407532.0,103.50.33.167,Buenos Aires,Argentina,243,8469,730286,E-commerce Platforms
135,141,pornhub.com,550.263404846191,241.018295288086,571.0,120.509147644043,9147.0,4224.0,679677.0,103.50.33.167,Buenos Aires,Argentina,241,5685,3033214,Other
137,144,nih.gov,1163.91372680664,241.333246231079,398.0,120.66662311554,5928.0,3274.0,81510.0,103.50.33.167,Buenos Aires,Argentina,1204,14629,6680606,Health and Medical Websites
138,145,tiktok.com,493.165016174316,240.676641464233,2126.0,120.338320732117,9332.0,5991.0,614332.0,103.50.33.167,Buenos Aires,Argentina,486,6757,838845,Other
139,146,steampowered.com,491.904735565186,241.083383560181,235.0,120.54169178009,7796.0,3446.0,520202.0,103.50.33.167,Buenos Aires,Argentina,239,3170,1536711,Other
140,147,investopedia.com,501.441955566406,240.674257278442,482.0,120.337128639221,6538.0,3314.0,289415.0,103.50.33.167,Buenos Aires,Argentina,965,8334,3146730,Financial Websites
141,148,cdc.gov,1304.35538291931,305.671215057373,247.0,152.835607528687,3740.0,2987.0,236314.0,103.50.33.167,Buenos Aires,Argentina,243,1396,52858,Health and Medical Websites
142,149,nordstrom.com,510.064840316772,241.647005081177,441.0,120.823502540588,2055.0,2055.0,213140.0,103.50.33.167,Buenos Aires,Argentina,242,1906,211163,E-commerce Platforms
143,150,blog.google,635.784864425659,243.578195571899,451.0,121.78909778595,6824.0,3028.0,311339.0,103.50.33.167,Buenos Aires,Argentina,3328,43583,22562772,Other
144,151,cnbc.com,966.937780380249,240.89789390564,254.0,120.44894695282,4451.0,1725.0,2094055.0,103.50.33.167,Buenos Aires,Argentina,240,2383,82702,News Websites
145,152,indiatimes.com,634.459972381592,295.078277587891,248.0,147.539138793945,18208.0,2204.0,1096076.0,103.50.33.167,Buenos Aires,Argentina,981,69680,53036482,Other
146,153,roblox.com,797.071695327759,241.220951080322,488.0,120.610475540161,7752.0,4881.0,101828.0,103.50.33.167,Buenos Aires,Argentina,480,3870,480352,Gaming Websites
147,154,flashscore.com,494.898319244385,246.20795249939,284.0,123.103976249695,4370.0,3004.0,299340.0,103.50.33.167,Buenos Aires,Argentina,723,7321,1376455,Other
150,157,speedtest.net,744.812726974487,262.297868728638,981.0,131.148934364319,29429.0,3112.0,164587.0,103.50.33.167,Buenos Aires,Argentina,483,73304,27772224,Other
151,158,ssyoutube.com,491.897821426392,240.617513656616,503.0,120.308756828308,6217.0,3561.0,30024.0,103.50.33.167,Buenos Aires,Argentina,483,7921,4641151,Other
152,159,unsplash.com,861.526012420654,251.956462860107,250.0,125.978231430054,7875.0,3554.0,387086.0,103.50.33.167,Buenos Aires,Argentina,241,9185,4970933,Other
154,161,vocabulary.com,494.960784912109,243.575572967529,860.0,121.787786483765,8021.0,4680.0,44883.0,103.50.33.167,Buenos Aires,Argentina,241,7681,4792097,Other
157,165,bloomberg.com,772.959709167481,240.928888320923,250.0,120.464444160461,4683.0,2560.0,14423.0,103.50.33.167,Buenos Aires,Argentina,240,2427,963852,Financial Websites
158,166,forbes.com,865.649461746216,271.711111068726,249.0,135.855555534363,43405.0,3482.0,957385.0,103.50.33.167,Buenos Aires,Argentina,724,449941,46147188,Financial Websites
159,167,booking.com,1009.83929634094,301.979780197144,700.0,150.989890098572,9480.0,3720.0,706542.0,103.50.33.167,Buenos Aires,Argentina,969,7729,4691035,Other
160,168,xhamster.com,597.609996795654,265.736103057861,781.0,132.868051528931,10917.0,6733.0,340148.0,103.50.33.167,Buenos Aires,Argentina,240,7430,4792097,Other
161,169,xe.com,789.457559585571,241.836547851562,476.0,120.918273925781,5781.0,3738.0,512329.0,103.50.33.167,Buenos Aires,Argentina,493,9146,4884786,Other
162,171,coinmarketcap.com,491.858243942261,240.648984909058,337.0,120.324492454529,9830.0,3837.0,421890.0,103.50.33.167,Buenos Aires,Argentina,1654,17272,6432508,Financial Websites
163,172,spanishdict.com,1240.5526638031,240.28754234314,447.0,120.14377117157,9747.0,1227.0,249428.0,103.50.33.167,Buenos Aires,Argentina,486,10713,7924931,Other
164,173,goodhousekeeping.com,549.846649169922,241.356372833252,275.0,120.678186416626,4270.0,2445.0,428170.0,103.50.33.167,Buenos Aires,Argentina,240,3964,466772,Other
166,175,twitch.tv,498.919248580933,242.295980453491,1.0,121.147990226746,10745.0,3918.0,224923.0,103.50.33.167,Buenos Aires,Argentina,964,6324,1599942,Entertainment Websites
167,176,pexels.com,497.23744392395,241.748332977295,276.0,120.874166488647,7492.0,2823.0,263349.0,103.50.33.167,Buenos Aires,Argentina,1682,11622,1050659,Other
168,177,poki.com,487.247228622437,240.579843521118,283.0,120.289921760559,5119.0,1672.0,275207.0,103.50.33.167,Buenos Aires,Argentina,6507,44272,2409468,Gaming Websites
169,178,caranddriver.com,499.460935592651,245.925664901733,252.0,122.962832450867,4459.0,2588.0,458403.0,103.50.33.167,Buenos Aires,Argentina,240,3947,1671697,Other
170,179,github.com,560.916185379028,299.681663513184,284.0,149.840831756592,5495.0,4007.0,234506.0,103.50.33.167,Buenos Aires,Argentina,245,1502,70279,Other
171,180,hotels.com,548.638105392456,274.743556976318,1472.0,137.371778488159,24583.0,4893.0,1105792.0,103.50.33.167,Buenos Aires,Argentina,485,36372,28435450,Other
172,181,globo.com,560.52827835083,241.957426071167,272.0,120.978713035584,13569.0,4513.0,982110.0,103.50.33.167,Buenos Aires,Argentina,724,92201,32215823,Other
173,182,theguardian.com,539.287805557251,321.303129196167,465.0,160.651564598084,6376.0,1990.0,1297572.0,103.50.33.167,Buenos Aires,Argentina,10356,56241,2000074,News Websites
174,184,wellsfargo.com,575.494050979614,298.662900924683,305.0,149.331450462341,5463.0,3725.0,131205.0,103.50.33.167,Buenos Aires,Argentina,243,1670,113119,Other
175,185,expedia.com,543.999433517456,240.398168563843,899.0,120.199084281921,27133.0,5443.0,1399000.0,103.50.33.167,Buenos Aires,Argentina,497,60452,30946416,Other
176,186,realtor.com,1374.54652786255,240.87643623352,1372.0,120.43821811676,34964.0,3296.0,968554.0,103.50.33.167,Buenos Aires,Argentina,1191,1046017,104261546,Other
177,187,crazygames.com,495.715379714966,240.371465682983,256.0,120.185732841492,7887.0,3064.0,596860.0,103.50.33.167,Buenos Aires,Argentina,3393,39885,18214658,Gaming Websites
179,189,nba.com,908.198833465576,240.493774414062,757.0,120.246887207031,41719.0,3402.0,698551.0,103.50.33.167,Buenos Aires,Argentina,963,88748,24300276,Other
180,190,nintendo.com,1187.70742416382,243.090867996216,257.0,121.545433998108,9628.0,2968.0,868723.0,103.50.33.167,Buenos Aires,Argentina,482,6529,3350722,Gaming Websites
181,191,akc.org,738.783359527588,241.113662719727,256.0,120.556831359863,19940.0,2118.0,599943.0,103.50.33.167,Buenos Aires,Argentina,965,62161,52289855,Other
182,192,fast.com,792.439460754395,294.958829879761,246.0,147.47941493988,4026.0,3985.0,25627.0,103.50.33.167,Buenos Aires,Argentina,240,3141,4587843,Other
183,193,decathlon.com,499.323606491089,240.587472915649,249.0,120.293736457825,10754.0,5012.0,1197537.0,103.50.33.167,Buenos Aires,Argentina,484,17762,19036252,Other
184,195,stackoverflow.com,744.488477706909,240.806579589844,385.0,120.403289794922,4027.0,3647.0,175989.0,103.50.33.167,Buenos Aires,Argentina,7531,38607,1114778,Other
186,198,www2.hm.com,599.694728851318,242.084264755249,423.0,121.042132377625,7902.0,4955.0,732598.0,103.50.33.167,Buenos Aires,Argentina,727,5129,399883,Other
187,199,grubhub.com,498.923063278198,240.899801254272,421.0,120.449900627136,19751.0,3279.0,261267.0,103.50.33.167,Buenos Aires,Argentina,2417,43153,25080280,Other
189,201,facebook.com,515.32244682312,209.447860717773,519.0,104.723930358887,5335.0,4530.0,67370.0,103.107.196.228,Perth,Australia,210,2490,2369161,Social Media Sites
190,202,amazon.com,1363.49558830261,209.287166595459,1257.0,104.64358329773,5180.0,3924.0,291973.0,103.107.196.228,Perth,Australia,209,1687,158204,E-commerce Platforms
192,204,apple.com,505.375862121582,209.710359573364,431.0,104.855179786682,6053.0,2846.0,257217.0,103.107.196.228,Perth,Australia,209,1457,86533,Other
193,205,merriam-webster.com,432.497262954712,211.958169937134,333.0,105.979084968567,46626.0,2179.0,279612.0,103.107.196.228,Perth,Australia,630,97086,35498904,Educational Websites
195,207,yelp.com,566.744327545166,213.157653808594,991.0,106.578826904297,3899.0,3895.0,108946.0,103.107.196.228,Perth,Australia,209,3575,1802645,Other
198,210,dictionary.com,643.648147583008,209.466934204102,211.0,104.733467102051,14563.0,2978.0,244254.0,103.107.196.228,Perth,Australia,629,59552,21374581,Educational Websites
199,211,yahoo.com,903.692722320557,242.835998535156,417.0,121.417999267578,21980.0,4376.0,994300.0,103.107.196.228,Perth,Australia,854,129093,46600345,Other
202,214,weather.com,512.543201446533,209.245920181274,281.0,104.622960090637,4518.0,2778.0,801451.0,103.107.196.228,Perth,Australia,420,4889,1408446,Other
204,216,walmart.com,855.267286300659,211.739778518677,760.0,105.869889259338,9826.0,977.0,178414.0,103.107.196.228,Perth,Australia,768,22702,10846171,E-commerce Platforms
205,217,espn.com,444.463014602661,218.30415725708,1047.0,109.15207862854,25284.0,5876.0,488526.0,103.107.196.228,Perth,Australia,419,42545,28557794,Other
206,218,linkedin.com,641.47162437439,211.12060546875,537.0,105.560302734375,3449.0,1441.0,131153.0,103.107.196.228,Perth,Australia,244,1365,58341,Social Media Sites
207,219,homedepot.com,506.577730178833,211.193799972534,488.0,105.596899986267,1520.0,1520.0,227.0,103.107.196.228,Perth,Australia,209,1439,74651,Other
208,220,espncricinfo.com,812.091827392578,209.218740463257,218.0,104.609370231628,18727.0,3939.0,515218.0,103.107.196.228,Perth,Australia,1057,89675,34129331,Other
212,224,mayoclinic.org,1392.11535453796,210.944652557373,753.0,105.472326278687,10453.0,3467.0,557843.0,103.107.196.228,Perth,Australia,845,20044,15753205,Health and Medical Websites
213,225,cricbuzz.com,745.054721832275,211.822032928467,221.0,105.911016464233,18473.0,1272.0,142773.0,103.107.196.228,Perth,Australia,1279,54287,29743052,Other
214,226,timeanddate.com,905.066967010498,209.463596343994,295.0,104.731798171997,25693.0,1972.0,69448.0,103.107.196.228,Perth,Australia,209,60108,9435770,Other
215,227,webmd.com,1379.9774646759,224.084138870239,1574.0,112.04206943512,39958.0,13028.0,307121.0,103.107.196.228,Perth,Australia,636,83130,16180079,Health and Medical Websites
216,228,thesaurus.com,661.682367324829,209.893465042114,211.0,104.946732521057,13925.0,3167.0,241877.0,103.107.196.228,Perth,Australia,653,44803,18112503,Other
217,229,whatsapp.com,516.708850860596,209.026336669922,897.0,104.513168334961,6704.0,4516.0,258882.0,103.107.196.228,Perth,Australia,459,4769,3129139,Other
218,230,rottentomatoes.com,521.209478378296,208.84895324707,256.0,104.424476623535,5069.0,2531.0,336922.0,103.107.196.228,Perth,Australia,418,4935,412227,Entertainment Websites
219,231,bbc.com,431.587696075439,208.574056625366,213.0,104.287028312683,8483.0,5401.0,222918.0,103.107.196.228,Perth,Australia,210,3402,155361,News Websites
221,233,healthline.com,793.400049209595,212.811231613159,1010.0,106.40561580658,18836.0,3121.0,354653.0,103.107.196.228,Perth,Australia,640,33732,18706373,Health and Medical Websites
223,235,indeed.com,506.649017333984,212.245464324951,428.0,106.122732162476,11657.0,5805.0,208480.0,103.107.196.228,Perth,Australia,422,17065,8325954,Other
224,236,thefreedictionary.com,852.673053741455,219.301700592041,563.0,109.650850296021,24489.0,3009.0,191998.0,103.107.196.228,Perth,Australia,836,79664,25015502,Educational Websites
226,238,spotify.com,507.68780708313,209.463596343994,412.0,104.731798171997,75312.0,3692.0,192040.0,103.107.196.228,Perth,Australia,419,18934,14819678,Entertainment Websites
227,239,livescore.com,510.400772094727,222.181558609009,249.0,111.090779304504,9136.0,2669.0,266572.0,103.107.196.228,Perth,Australia,434,4589,2398347,Other
229,241,pornhub.com,527.698278427124,209.232091903687,690.0,104.616045951843,6756.0,3970.0,659524.0,103.107.196.228,Perth,Australia,419,3391,1526096,Other
231,244,nih.gov,1359.87710952759,232.625484466553,533.0,116.312742233276,9282.0,3178.0,81225.0,103.107.196.228,Perth,Australia,1084,13545,6680606,Health and Medical Websites
232,245,tiktok.com,432.731151580811,209.396600723267,2131.0,104.698300361633,7573.0,5351.0,661848.0,103.107.196.228,Perth,Australia,418,14450,2041443,Other
235,248,cdc.gov,1547.09625244141,209.213733673096,254.0,104.606866836548,5584.0,2200.0,236811.0,103.107.196.228,Perth,Australia,418,2637,114120,Health and Medical Websites
237,250,blog.google,592.72313117981,210.903406143188,614.0,105.451703071594,6443.0,3474.0,311339.0,103.107.196.228,Perth,Australia,2440,29828,17656024,Other
239,252,indiatimes.com,536.575317382813,208.659172058105,256.0,104.329586029053,27441.0,1973.0,1096015.0,103.107.196.228,Perth,Australia,1055,55344,43445792,Other
240,253,roblox.com,798.869848251343,208.496570587158,546.0,104.248285293579,8168.0,7038.0,96953.0,103.107.196.228,Perth,Australia,211,1876,187846,Gaming Websites
241,254,flashscore.com,503.801345825195,226.483345031738,267.0,113.241672515869,4449.0,2614.0,299367.0,103.107.196.228,Perth,Australia,860,6222,1071302,Other
243,256,adobe.com,428.136825561523,256.307601928711,374.0,128.153800964355,7289.0,3595.0,318043.0,103.107.196.228,Perth,Australia,430,4569,413933,Other
244,257,speedtest.net,654.390573501587,233.977794647217,739.0,116.988897323608,27561.0,2656.0,164330.0,103.107.196.228,Perth,Australia,423,60498,27896658,Other
245,258,ssyoutube.com,433.64429473877,209.222555160522,546.0,104.611277580261,5847.0,3450.0,30024.0,103.107.196.228,Perth,Australia,636,8178,4641151,Other
246,259,unsplash.com,663.994073867798,209.569931030273,266.0,104.784965515137,7625.0,3739.0,384065.0,103.107.196.228,Perth,Australia,222,4555,1802645,Other
248,261,vocabulary.com,434.111833572388,209.388017654419,1267.0,104.694008827209,8103.0,5337.0,44883.0,103.107.196.228,Perth,Australia,210,11431,7781549,Other
249,262,mcdonalds.com,905.543088912964,210.864067077637,259.0,105.432033538818,13625.0,5872.0,123599.0,103.107.196.228,Perth,Australia,461,30321,26990080,Other
252,266,forbes.com,641.729593276978,209.110021591187,676.0,104.555010795593,34719.0,3645.0,956857.0,103.107.196.228,Perth,Australia,427,588982,67325731,Financial Websites
253,267,booking.com,434.68451499939,211.124420166016,863.0,105.562210083008,9924.0,3519.0,717428.0,103.107.196.228,Perth,Australia,3990,22923,6200591,Other
254,268,xhamster.com,472.597360610962,209.290981292725,784.0,104.645490646362,9217.0,5068.0,327963.0,103.107.196.228,Perth,Australia,210,7773,2450195,Other
