Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
yahoo.com,451.09486579895,47.2607612609863,235,23.6303806304932,1402,1286,989054,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
cambridge.org,176.669597625732,45.2308654785156,199,22.6154327392578,1786,1167,286057,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Educational Websites
britannica.com,485.863924026489,48.7520694732666,331,24.3760347366333,48244,1034,163562,31.171.155.229,Tirana,Albania,292,18148,18426415,Educational Websites
weather.com,142.389297485352,55.0911426544189,91,27.5455713272095,1608,843,764138,31.171.155.229,Tirana,Albania,92,900,1404795,Other
microsoft.com,196.229457855225,51.767110824585,0,25.8835554122925,47,41,3448,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
walmart.com,132.594585418701,46.2820529937744,119,23.1410264968872,11198,1285,172289,31.171.155.229,Tirana,Albania,91,3331,8130383,E-commerce Platforms
espn.com,132.813692092896,45.5982685089111,287,22.7991342544556,10651,2606,1154250,31.171.155.229,Tirana,Albania,0,7016,21212071,Other
linkedin.com,164.062738418579,44.88205909729,367,22.441029548645,1225,696,142300,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
homedepot.com,113.507986068726,45.668363571167,81,22.8341817855835,381,380,227,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
espncricinfo.com,673.87843132019,45.0263023376465,110,22.5131511688232,2282,1420,570660,31.171.155.229,Tirana,Albania,182,1794,1149156,Other
craigslist.org,511.171817779541,44.6302890777588,174,22.3151445388794,2691,1499,51059,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
xnxx.com,313.223838806152,45.9840297698975,177,22.9920148849487,2551,1585,203628,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
gsmarena.com,160.502910614014,50.5039691925049,83,25.2519845962524,2178,1091,63454,31.171.155.229,Tirana,Albania,0,633,1510139,Other
mayoclinic.org,556.700706481934,45.2461242675781,227,22.6230621337891,7541,1124,557846,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
cricbuzz.com,503.12066078186,45.5641746520996,306,22.7820873260498,30910,538,145788,31.171.155.229,Tirana,Albania,0,7882,20940904,Other
timeanddate.com,323.68540763855,45.7432270050049,99,22.8716135025024,23064,509,69419,31.171.155.229,Tirana,Albania,0,4077,5578517,Other
webmd.com,486.124515533447,44.865608215332,279,22.432804107666,22270,1226,306881,31.171.155.229,Tirana,Albania,111,10610,6188634,Health and Medical Websites
thesaurus.com,216.169834136963,86.4038467407227,90,43.2019233703613,3329,1179,207849,31.171.155.229,Tirana,Albania,132,7644,10580505,Other
whatsapp.com,214.653968811035,77.6278972625732,645,38.8139486312866,2877,2249,258741,31.171.155.229,Tirana,Albania,243,5742,10956378,Other
rottentomatoes.com,240.827798843384,45.466423034668,108,22.733211517334,2079,1392,336906,31.171.155.229,Tirana,Albania,149,1314,410902,Entertainment Websites
bbc.com,131.186246871948,44.9738502502441,61,22.4869251251221,2659,1530,213618,31.171.155.229,Tirana,Albania,45,272,44355,News Websites
bestbuy.com,177.33097076416,47.107458114624,331,23.553729057312,1090,847,6921,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
healthline.com,109.619617462158,46.1809635162354,816,23.0904817581177,9947,1655,355669,31.171.155.229,Tirana,Albania,49,4441,5713090,Health and Medical Websites
netflix.com,495.884895324707,45.4850196838379,513,22.7425098419189,6582,3438,482387,31.171.155.229,Tirana,Albania,44,5425,18114995,Entertainment Websites
indeed.com,110.320806503296,44.9111461639404,69,22.4555730819702,10766,10580,10593,31.171.155.229,Tirana,Albania,46,398,271088,Other
thefreedictionary.com,510.842800140381,47.3630428314209,198,23.6815214157104,5393,1149,192343,31.171.155.229,Tirana,Albania,398,14150,18968115,Educational Websites
xvideos.com,319.38648223877,45.7086563110352,225,22.8543281555176,3867,2294,134629,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
spotify.com,134.007930755615,45.4719066619873,117,22.7359533309937,3215,1608,76584,31.171.155.229,Tirana,Albania,45,1411,4647843,Entertainment Websites
livescore.com,131.012201309204,45.2003479003906,89,22.6001739501953,2141,1088,258946,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
ebay.com,459.381103515625,50.6222248077393,381,25.3111124038696,3133,1531,313844,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
pornhub.com,175.182104110718,45.2835559844971,473,22.6417779922485,3804,1999,677564,31.171.155.229,Tirana,Albania,0,1918,5411757,Other
ytmp3.cc,664.290189743042,47.7399826049805,240,23.8699913024902,3477,1789,164214,31.171.155.229,Tirana,Albania,73,2974,7812375,Other
samsung.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
nih.gov,491.079568862915,45.0141429901123,228,22.5070714950562,6462,1196,81882,31.171.155.229,Tirana,Albania,98,2406,3602527,Health and Medical Websites
tiktok.com,111.726760864258,44.804573059082,1764,22.402286529541,3783,3067,656020,31.171.155.229,Tirana,Albania,44,672,450135,Other
steampowered.com,151.555061340332,49.7267246246338,61,24.8633623123169,2625,1638,508342,31.171.155.229,Tirana,Albania,0,552,1510139,Other
investopedia.com,165.332317352295,47.6224422454834,6212,23.8112211227417,6407,6399,147,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
cdc.gov,659.950733184814,64.4619464874268,80,32.2309732437134,1183,743,236314,31.171.155.229,Tirana,Albania,50,300,52858,Health and Medical Websites
nordstrom.com,147.300720214844,45.6578731536865,290,22.8289365768433,874,874,214445,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
blog.google,163.378715515137,45.0499057769775,227,22.5249528884888,4455,1558,311339,31.171.155.229,Tirana,Albania,137,16279,17637450,Other
cnbc.com,468.749284744263,74.7432708740234,191,37.3716354370117,1334,598,2187719,31.171.155.229,Tirana,Albania,0,152,47939,News Websites
indiatimes.com,175.103664398193,47.250509262085,75,23.6252546310425,5475,848,813703,31.171.155.229,Tirana,Albania,289,24348,35244200,Other
roblox.com,345.402956008911,45.7403659820557,631,22.8701829910278,2864,2117,96953,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
flashscore.com,136.200428009033,46.5376377105713,99,23.2688188552856,1396,1131,299340,31.171.155.229,Tirana,Albania,0,315,292506,Other
thepiratebay.org,184.07416343689,53.7598133087158,931,26.8799066543579,2221,2059,4896,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
adobe.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
speedtest.net,164.305686950684,44.9237823486328,416,22.4618911743164,3718,1027,154398,31.171.155.229,Tirana,Albania,85,8283,17676491,Other
ssyoutube.com,116.747379302979,49.9286651611328,149,24.9643325805664,1943,1094,30024,31.171.155.229,Tirana,Albania,137,1985,3131012,Other
unsplash.com,174.706697463989,66.6639804840088,55,33.3319902420044,3205,1229,386206,31.171.155.229,Tirana,Albania,45,744,1510139,Other
lowes.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
vocabulary.com,127.992391586304,50.3213405609131,561,25.1606702804565,2895,2280,44538,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
mcdonalds.com,323.89760017395,47.2030639648438,85,23.6015319824219,2381,1415,265463,31.171.155.229,Tirana,Albania,46,1030,3170830,Other
deepl.com,235.183954238892,46.269416809082,176,23.134708404541,1752,1371,226212,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
playstation.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
bloomberg.com,359.534502029419,81.3000202178955,61,40.6500101089478,17999,607,14807,31.171.155.229,Tirana,Albania,44,492,963852,Financial Websites
forbes.com,168.084144592285,45.6042289733887,54,22.8021144866943,19928,1025,929608,31.171.155.229,Tirana,Albania,45,31672,35188292,Financial Websites
booking.com,111.172437667847,45.7618236541748,338,22.8809118270874,2026,1327,677899,31.171.155.229,Tirana,Albania,47,1201,4642973,Other
xhamster.com,118.254661560059,45.0739860534668,632,22.5369930267334,5326,2528,288972,31.171.155.229,Tirana,Albania,46,284,49338,Other
xe.com,111.622095108032,45.4299449920654,73,22.7149724960327,1654,1219,433718,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
friv.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
coinmarketcap.com,115.082740783691,45.1159477233887,70,22.5579738616943,1744,1256,274737,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
spanishdict.com,481.027126312256,45.4509258270264,213,22.7254629135132,3039,437,249629,31.171.155.229,Tirana,Albania,45,3024,5990813,Other
goodhousekeeping.com,113.953590393066,44.9824333190918,69,22.4912166595459,1410,693,418606,31.171.155.229,Tirana,Albania,49,1041,1895149,Other
dominos.com,125.565767288208,46.215295791626,344,23.107647895813,3010,591,47710,31.171.155.229,Tirana,Albania,44,1179,4625747,Other
twitch.tv,126.752853393555,63.8473033905029,0,31.9236516952515,2469,1031,214255,31.171.155.229,Tirana,Albania,46,1940,1943954,Entertainment Websites
pexels.com,131.063222885132,46.9658374786377,94,23.4829187393188,2135,895,260560,31.171.155.229,Tirana,Albania,180,1062,411005,Other
poki.com,108.355283737183,45.2694892883301,91,22.634744644165,1056,498,275302,31.171.155.229,Tirana,Albania,1099,7929,2087934,Gaming Websites
caranddriver.com,120.515584945679,45.4518795013428,58,22.7259397506714,1360,816,456714,31.171.155.229,Tirana,Albania,132,1426,1788731,Other
github.com,174.956798553467,44.452428817749,134,22.2262144088745,1276,1092,234532,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
hotels.com,164.811134338379,45.81618309021,407,22.908091545105,3819,2952,897351,31.171.155.229,Tirana,Albania,0,184,27693,Other
globo.com,626.773595809937,79.5218944549561,358,39.760947227478,13914,4284,984843,31.171.155.229,Tirana,Albania,47,6397,17324400,Other
theguardian.com,139.65368270874,45.9482669830322,53,22.9741334915161,1925,529,1242816,31.171.155.229,Tirana,Albania,185,1192,277133,News Websites
usnews.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,News Websites
wellsfargo.com,141.815900802612,45.6547737121582,62,22.8273868560791,3583,1137,131962,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
expedia.com,216.435432434082,46.6070175170898,838,23.3035087585449,8732,2964,1357218,31.171.155.229,Tirana,Albania,46,4286,13906268,Other
realtor.com,685.724258422852,44.9588298797607,736,22.4794149398804,34505,1484,969388,31.171.155.229,Tirana,Albania,614,411400,68826459,Other
crazygames.com,113.619565963745,48.7957000732422,72,24.3978500366211,1891,1293,596425,31.171.155.229,Tirana,Albania,1097,19054,7768709,Gaming Websites
digitaltrends.com,138.482570648193,45.6132888793945,69,22.8066444396973,29370,1105,638222,31.171.155.229,Tirana,Albania,185,8134,14524393,Other
nba.com,461.057901382446,46.8192100524902,478,23.4096050262451,4760,1563,478741,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
nintendo.com,658.085584640503,46.9386577606201,53,23.4693288803101,2393,1286,760914,31.171.155.229,Tirana,Albania,46,531,326883,Gaming Websites
akc.org,174.628019332886,45.9909439086914,64,22.9954719543457,5092,569,600769,31.171.155.229,Tirana,Albania,0,38287,48093736,Other
fast.com,206.689596176147,45.7501411437988,70,22.8750705718994,2999,1408,25627,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
decathlon.com,132.092475891113,45.743465423584,67,22.871732711792,2386,1580,1193378,31.171.155.229,Tirana,Albania,94,4067,3726976,Other
adidas.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
stackoverflow.com,165.510654449463,46.0116863250732,214,23.0058431625366,451,451,66,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
calculator.net,498.730897903442,76.2960910797119,163,38.148045539856,2933,2621,11466,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
usps.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
www2.hm.com,121.721267700195,47.6303100585938,81,23.8151550292969,1374,1121,46941,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
grubhub.com,128.767013549805,44.8408126831055,53,22.4204063415527,1100,383,2701,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
google.com,541.374444961548,242.412567138672,335,121.206283569336,6866,4157,146757,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
facebook.com,494.725227355957,241.379737854004,517,120.689868927002,9028,8507,67339,103.50.33.167,Buenos Aires,Argentina,241,45952,37115202,Social Media Sites
amazon.com,1172.93763160706,242.726802825928,745,121.363401412964,7489,4136,893149,103.50.33.167,Buenos Aires,Argentina,240,1792,158204,E-commerce Platforms
imdb.com,1198.55856895447,241.496562957764,1599,120.748281478882,18555,5029,705819,103.50.33.167,Buenos Aires,Argentina,242,876,3667,Entertainment Websites
apple.com,550.144195556641,241.236209869385,254,120.618104934692,6387,2884,255197,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
merriam-webster.com,496.272802352905,254.339933395386,327,127.169966697693,92918,2408,280006,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
pinterest.com,503.316164016724,240.433216094971,531,120.216608047485,3564,3558,261199,103.50.33.167,Buenos Aires,Argentina,240,1952,73813,Social Media Sites
yelp.com,548.351764678955,240.893363952637,800,120.446681976318,4180,4175,109539,103.50.33.167,Buenos Aires,Argentina,251,5167,4935479,Other
tripadvisor.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
wiktionary.org,829.264402389526,335.000991821289,476,167.500495910645,2220,2157,61262,103.50.33.167,Buenos Aires,Argentina,240,1418,49888,Other
dictionary.com,756.329774856567,240.446805953979,425,120.22340297699,32938,3363,246612,103.50.33.167,Buenos Aires,Argentina,987,144262,30436349,Educational Websites
yahoo.com,796.942949295044,246.753215789795,474,123.376607894897,10168,5169,1055940,103.50.33.167,Buenos Aires,Argentina,2405,18851,1998883,Other
cambridge.org,846.577882766724,241.624116897583,482,120.812058448792,6078,3474,285853,103.50.33.167,Buenos Aires,Argentina,0,2574,586586,Educational Websites
britannica.com,1201.42102241516,241.252183914185,532,120.626091957092,60904,3277,167683,103.50.33.167,Buenos Aires,Argentina,1934,72326,37186940,Educational Websites
weather.com,521.23498916626,241.08624458313,334,120.543122291565,4976,2940,800921,103.50.33.167,Buenos Aires,Argentina,979,15748,4266558,Other
microsoft.com,819.678544998169,242.961645126343,0,121.480822563171,43,38,3448,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
walmart.com,498.584032058716,240.739345550537,298,120.369672775269,8011,2331,17157,103.50.33.167,Buenos Aires,Argentina,241,1908,230104,E-commerce Platforms
espn.com,497.008562088013,297.338485717773,701,148.669242858887,33115,7081,491625,103.50.33.167,Buenos Aires,Argentina,729,30877,25123018,Other
linkedin.com,823.484659194946,297.530889511108,590,148.765444755554,3962,1523,131487,103.50.33.167,Buenos Aires,Argentina,240,1419,58341,Social Media Sites
homedepot.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
espncricinfo.com,1917.15955734253,304.124355316162,361,152.062177658081,13463,4902,511881,103.50.33.167,Buenos Aires,Argentina,724,9961,6112705,Other
craigslist.org,1220.64399719238,242.520570755005,402,121.260285377502,8020,3351,51711,103.50.33.167,Buenos Aires,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
xnxx.com,1416.71466827393,255.153656005859,522,127.57682800293,6947,4796,197696,103.50.33.167,Buenos Aires,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
gsmarena.com,922.300338745117,250.420570373535,484,125.210285186768,82356,5378,83174,103.50.33.167,Buenos Aires,Argentina,0,247234,24274437,Other
mayoclinic.org,1262.11953163147,240.914106369019,1042,120.457053184509,11324,3784,557846,103.50.33.167,Buenos Aires,Argentina,966,22898,12530438,Health and Medical Websites
cricbuzz.com,1205.98149299622,250.263452529907,500,125.131726264954,12811,1330,144784,103.50.33.167,Buenos Aires,Argentina,1209,32089,23582558,Other
timeanddate.com,768.417358398438,241.884708404541,409,120.942354202271,42901,2111,69798,103.50.33.167,Buenos Aires,Argentina,978,51601,14165934,Other
webmd.com,1245.81480026245,241.511583328247,499,120.755791664124,50481,3913,307906,103.50.33.167,Buenos Aires,Argentina,1217,276150,40601038,Health and Medical Websites
thesaurus.com,737.65230178833,270.272016525269,243,135.136008262634,16740,3297,242475,103.50.33.167,Buenos Aires,Argentina,1462,47057,22709582,Other
whatsapp.com,493.099689483643,242.399930953979,811,121.19996547699,6144,4784,258729,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
rottentomatoes.com,559.784173965454,322.668552398682,305,161.334276199341,4691,2888,336906,103.50.33.167,Buenos Aires,Argentina,722,6650,482058,Entertainment Websites
bbc.com,496.038436889648,241.175889968872,251,120.587944984436,8351,5275,214359,103.50.33.167,Buenos Aires,Argentina,744,5660,164843,News Websites
bestbuy.com,895.295143127441,240.66948890686,1739,120.33474445343,10234,4151,417782,103.50.33.167,Buenos Aires,Argentina,1326,10122,2800575,E-commerce Platforms
healthline.com,799.639463424683,240.355491638184,546,120.177745819092,14941,3388,356126,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
netflix.com,1828.96184921265,240.752220153809,1144,120.376110076904,15054,7499,454759,103.50.33.167,Buenos Aires,Argentina,482,8065,10088563,Entertainment Websites
indeed.com,491.064071655273,243.721008300781,454,121.860504150391,10499,6179,195289,103.50.33.167,Buenos Aires,Argentina,240,9038,6681581,Other
thefreedictionary.com,1415.15779495239,240.998268127441,560,120.499134063721,47918,2907,191777,103.50.33.167,Buenos Aires,Argentina,1204,134245,43320810,Educational Websites
xvideos.com,1406.39567375183,242.767333984375,524,121.383666992188,9533,4655,1305441,103.50.33.167,Buenos Aires,Argentina,243,1150,20683,Other
spotify.com,495.076417922974,241.227626800537,414,120.613813400269,17799,4108,185455,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
livescore.com,495.391607284546,241.097688674927,472,120.548844337463,8784,2812,259377,103.50.33.167,Buenos Aires,Argentina,1118,3345,1056096,Other
ebay.com,958.974123001099,289.169073104858,579,144.584536552429,8137,4338,407532,103.50.33.167,Buenos Aires,Argentina,243,8469,730286,E-commerce Platforms
pornhub.com,550.263404846191,241.018295288086,571,120.509147644043,9147,4224,679677,103.50.33.167,Buenos Aires,Argentina,241,5685,3033214,Other
ytmp3.cc,1787.23621368408,240.942716598511,615,120.471358299255,7744,4434,164351,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
samsung.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
nih.gov,1163.91372680664,241.333246231079,398,120.66662311554,5928,3274,81510,103.50.33.167,Buenos Aires,Argentina,1204,14629,6680606,Health and Medical Websites
tiktok.com,493.165016174316,240.676641464233,2126,120.338320732117,9332,5991,614332,103.50.33.167,Buenos Aires,Argentina,486,6757,838845,Other
steampowered.com,491.904735565186,241.083383560181,235,120.54169178009,7796,3446,520202,103.50.33.167,Buenos Aires,Argentina,239,3170,1536711,Other
investopedia.com,501.441955566406,240.674257278442,482,120.337128639221,6538,3314,289415,103.50.33.167,Buenos Aires,Argentina,965,8334,3146730,Financial Websites
cdc.gov,1304.35538291931,305.671215057373,247,152.835607528687,3740,2987,236314,103.50.33.167,Buenos Aires,Argentina,243,1396,52858,Health and Medical Websites
nordstrom.com,510.064840316772,241.647005081177,441,120.823502540588,2055,2055,213140,103.50.33.167,Buenos Aires,Argentina,242,1906,211163,E-commerce Platforms
blog.google,635.784864425659,243.578195571899,451,121.78909778595,6824,3028,311339,103.50.33.167,Buenos Aires,Argentina,3328,43583,22562772,Other
cnbc.com,966.937780380249,240.89789390564,254,120.44894695282,4451,1725,2094055,103.50.33.167,Buenos Aires,Argentina,240,2383,82702,News Websites
indiatimes.com,634.459972381592,295.078277587891,248,147.539138793945,18208,2204,1096076,103.50.33.167,Buenos Aires,Argentina,981,69680,53036482,Other
roblox.com,797.071695327759,241.220951080322,488,120.610475540161,7752,4881,101828,103.50.33.167,Buenos Aires,Argentina,480,3870,480352,Gaming Websites
flashscore.com,494.898319244385,246.20795249939,284,123.103976249695,4370,3004,299340,103.50.33.167,Buenos Aires,Argentina,723,7321,1376455,Other
thepiratebay.org,502.409934997559,253.405332565308,1469,126.702666282654,7170,4129,4967,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
adobe.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
speedtest.net,744.812726974487,262.297868728638,981,131.148934364319,29429,3112,164587,103.50.33.167,Buenos Aires,Argentina,483,73304,27772224,Other
ssyoutube.com,491.897821426392,240.617513656616,503,120.308756828308,6217,3561,30024,103.50.33.167,Buenos Aires,Argentina,483,7921,4641151,Other
unsplash.com,861.526012420654,251.956462860107,250,125.978231430054,7875,3554,387086,103.50.33.167,Buenos Aires,Argentina,241,9185,4970933,Other
lowes.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
vocabulary.com,494.960784912109,243.575572967529,860,121.787786483765,8021,4680,44883,103.50.33.167,Buenos Aires,Argentina,241,7681,4792097,Other
mcdonalds.com,789.885997772217,241.236686706543,273,120.618343353271,6294,3744,265411,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
deepl.com,1015.16032218933,253.312826156616,786,126.656413078308,7010,5054,226148,103.50.33.167,Buenos Aires,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
playstation.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
bloomberg.com,772.959709167481,240.928888320923,250,120.464444160461,4683,2560,14423,103.50.33.167,Buenos Aires,Argentina,240,2427,963852,Financial Websites
forbes.com,865.649461746216,271.711111068726,249,135.855555534363,43405,3482,957385,103.50.33.167,Buenos Aires,Argentina,724,449941,46147188,Financial Websites
booking.com,1009.83929634094,301.979780197144,700,150.989890098572,9480,3720,706542,103.50.33.167,Buenos Aires,Argentina,969,7729,4691035,Other
xhamster.com,597.609996795654,265.736103057861,781,132.868051528931,10917,6733,340148,103.50.33.167,Buenos Aires,Argentina,240,7430,4792097,Other
xe.com,789.457559585571,241.836547851562,476,120.918273925781,5781,3738,512329,103.50.33.167,Buenos Aires,Argentina,493,9146,4884786,Other
friv.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
coinmarketcap.com,491.858243942261,240.648984909058,337,120.324492454529,9830,3837,421890,103.50.33.167,Buenos Aires,Argentina,1654,17272,6432508,Financial Websites
spanishdict.com,1240.5526638031,240.28754234314,447,120.14377117157,9747,1227,249428,103.50.33.167,Buenos Aires,Argentina,486,10713,7924931,Other
