,Unnamed: 0.1,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
90,91,96,calculator.net,498.730897903442,76.2960910797119,163.0,38.148045539856,2933.0,2621.0,11466.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
91,92,98,www2.hm.com,121.721267700195,47.6303100585938,81.0,23.8151550292969,1374.0,1121.0,46941.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
92,93,99,grubhub.com,128.767013549805,44.8408126831055,53.0,22.4204063415527,1100.0,383.0,2701.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
93,94,100,google.com,541.374444961548,242.412567138672,335.0,121.206283569336,6866.0,4157.0,146757.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
94,95,101,facebook.com,494.725227355957,241.379737854004,517.0,120.689868927002,9028.0,8507.0,67339.0,103.50.33.167,Buenos Aires,Argentina,241,45952,37115202,Social Media Sites
95,96,102,amazon.com,1172.93763160706,242.726802825928,745.0,121.363401412964,7489.0,4136.0,893149.0,103.50.33.167,Buenos Aires,Argentina,240,1792,158204,E-commerce Platforms
96,97,103,imdb.com,1198.55856895447,241.496562957764,1599.0,120.748281478882,18555.0,5029.0,705819.0,103.50.33.167,Buenos Aires,Argentina,242,876,3667,Entertainment Websites
97,98,104,apple.com,550.144195556641,241.236209869385,254.0,120.618104934692,6387.0,2884.0,255197.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
98,99,105,merriam-webster.com,496.272802352905,254.339933395386,327.0,127.169966697693,92918.0,2408.0,280006.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
99,100,106,pinterest.com,503.316164016724,240.433216094971,531.0,120.216608047485,3564.0,3558.0,261199.0,103.50.33.167,Buenos Aires,Argentina,240,1952,73813,Social Media Sites
100,101,107,yelp.com,548.351764678955,240.893363952637,800.0,120.446681976318,4180.0,4175.0,109539.0,103.50.33.167,Buenos Aires,Argentina,251,5167,4935479,Other
101,102,108,tripadvisor.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
102,103,109,wiktionary.org,829.264402389526,335.000991821289,476.0,167.500495910645,2220.0,2157.0,61262.0,103.50.33.167,Buenos Aires,Argentina,240,1418,49888,Other
103,104,110,dictionary.com,756.329774856567,240.446805953979,425.0,120.22340297699,32938.0,3363.0,246612.0,103.50.33.167,Buenos Aires,Argentina,987,144262,30436349,Educational Websites
104,105,111,yahoo.com,796.942949295044,246.753215789795,474.0,123.376607894897,10168.0,5169.0,1055940.0,103.50.33.167,Buenos Aires,Argentina,2405,18851,1998883,Other
105,106,112,cambridge.org,846.577882766724,241.624116897583,482.0,120.812058448792,6078.0,3474.0,285853.0,103.50.33.167,Buenos Aires,Argentina,0,2574,586586,Educational Websites
106,107,113,britannica.com,1201.42102241516,241.252183914185,532.0,120.626091957092,60904.0,3277.0,167683.0,103.50.33.167,Buenos Aires,Argentina,1934,72326,37186940,Educational Websites
107,108,114,weather.com,521.23498916626,241.08624458313,334.0,120.543122291565,4976.0,2940.0,800921.0,103.50.33.167,Buenos Aires,Argentina,979,15748,4266558,Other
109,110,116,walmart.com,498.584032058716,240.739345550537,298.0,120.369672775269,8011.0,2331.0,17157.0,103.50.33.167,Buenos Aires,Argentina,241,1908,230104,E-commerce Platforms
110,111,117,espn.com,497.008562088013,297.338485717773,701.0,148.669242858887,33115.0,7081.0,491625.0,103.50.33.167,Buenos Aires,Argentina,729,30877,25123018,Other
111,112,118,linkedin.com,823.484659194946,297.530889511108,590.0,148.765444755554,3962.0,1523.0,131487.0,103.50.33.167,Buenos Aires,Argentina,240,1419,58341,Social Media Sites
112,113,119,homedepot.com,,,,,,,,103.50.33.167,Buenos Aires,Argentina,,,,Other
113,114,120,espncricinfo.com,1917.15955734253,304.124355316162,361.0,152.062177658081,13463.0,4902.0,511881.0,103.50.33.167,Buenos Aires,Argentina,724,9961,6112705,Other
114,115,121,craigslist.org,1220.64399719238,242.520570755005,402.0,121.260285377502,8020.0,3351.0,51711.0,103.50.33.167,Buenos Aires,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
115,116,122,xnxx.com,1416.71466827393,255.153656005859,522.0,127.57682800293,6947.0,4796.0,197696.0,103.50.33.167,Buenos Aires,Argentina,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
116,117,123,gsmarena.com,922.300338745117,250.420570373535,484.0,125.210285186768,82356.0,5378.0,83174.0,103.50.33.167,Buenos Aires,Argentina,0,247234,24274437,Other
117,118,124,mayoclinic.org,1262.11953163147,240.914106369019,1042.0,120.457053184509,11324.0,3784.0,557846.0,103.50.33.167,Buenos Aires,Argentina,966,22898,12530438,Health and Medical Websites
118,119,125,cricbuzz.com,1205.98149299622,250.263452529907,500.0,125.131726264954,12811.0,1330.0,144784.0,103.50.33.167,Buenos Aires,Argentina,1209,32089,23582558,Other
119,120,126,timeanddate.com,768.417358398438,241.884708404541,409.0,120.942354202271,42901.0,2111.0,69798.0,103.50.33.167,Buenos Aires,Argentina,978,51601,14165934,Other
120,121,127,webmd.com,1245.81480026245,241.511583328247,499.0,120.755791664124,50481.0,3913.0,307906.0,103.50.33.167,Buenos Aires,Argentina,1217,276150,40601038,Health and Medical Websites
121,122,128,thesaurus.com,737.65230178833,270.272016525269,243.0,135.136008262634,16740.0,3297.0,242475.0,103.50.33.167,Buenos Aires,Argentina,1462,47057,22709582,Other
122,123,129,whatsapp.com,493.099689483643,242.399930953979,811.0,121.19996547699,6144.0,4784.0,258729.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
123,124,130,rottentomatoes.com,559.784173965454,322.668552398682,305.0,161.334276199341,4691.0,2888.0,336906.0,103.50.33.167,Buenos Aires,Argentina,722,6650,482058,Entertainment Websites
124,125,131,bbc.com,496.038436889648,241.175889968872,251.0,120.587944984436,8351.0,5275.0,214359.0,103.50.33.167,Buenos Aires,Argentina,744,5660,164843,News Websites
125,126,132,bestbuy.com,895.295143127441,240.66948890686,1739.0,120.33474445343,10234.0,4151.0,417782.0,103.50.33.167,Buenos Aires,Argentina,1326,10122,2800575,E-commerce Platforms
126,127,133,healthline.com,799.639463424683,240.355491638184,546.0,120.177745819092,14941.0,3388.0,356126.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
127,128,134,netflix.com,1828.96184921265,240.752220153809,1144.0,120.376110076904,15054.0,7499.0,454759.0,103.50.33.167,Buenos Aires,Argentina,482,8065,10088563,Entertainment Websites
128,129,135,indeed.com,491.064071655273,243.721008300781,454.0,121.860504150391,10499.0,6179.0,195289.0,103.50.33.167,Buenos Aires,Argentina,240,9038,6681581,Other
129,130,136,thefreedictionary.com,1415.15779495239,240.998268127441,560.0,120.499134063721,47918.0,2907.0,191777.0,103.50.33.167,Buenos Aires,Argentina,1204,134245,43320810,Educational Websites
130,131,137,xvideos.com,1406.39567375183,242.767333984375,524.0,121.383666992188,9533.0,4655.0,1305441.0,103.50.33.167,Buenos Aires,Argentina,243,1150,20683,Other
131,132,138,spotify.com,495.076417922974,241.227626800537,414.0,120.613813400269,17799.0,4108.0,185455.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
132,133,139,livescore.com,495.391607284546,241.097688674927,472.0,120.548844337463,8784.0,2812.0,259377.0,103.50.33.167,Buenos Aires,Argentina,1118,3345,1056096,Other
133,134,140,ebay.com,958.974123001099,289.169073104858,579.0,144.584536552429,8137.0,4338.0,407532.0,103.50.33.167,Buenos Aires,Argentina,243,8469,730286,E-commerce Platforms
134,135,141,pornhub.com,550.263404846191,241.018295288086,571.0,120.509147644043,9147.0,4224.0,679677.0,103.50.33.167,Buenos Aires,Argentina,241,5685,3033214,Other
135,136,142,ytmp3.cc,1787.23621368408,240.942716598511,615.0,120.471358299255,7744.0,4434.0,164351.0,103.50.33.167,Buenos Aires,Argentina,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
136,137,144,nih.gov,1163.91372680664,241.333246231079,398.0,120.66662311554,5928.0,3274.0,81510.0,103.50.33.167,Buenos Aires,Argentina,1204,14629,6680606,Health and Medical Websites
137,138,145,tiktok.com,493.165016174316,240.676641464233,2126.0,120.338320732117,9332.0,5991.0,614332.0,103.50.33.167,Buenos Aires,Argentina,486,6757,838845,Other
138,139,146,steampowered.com,491.904735565186,241.083383560181,235.0,120.54169178009,7796.0,3446.0,520202.0,103.50.33.167,Buenos Aires,Argentina,239,3170,1536711,Other
139,140,147,investopedia.com,501.441955566406,240.674257278442,482.0,120.337128639221,6538.0,3314.0,289415.0,103.50.33.167,Buenos Aires,Argentina,965,8334,3146730,Financial Websites
140,141,148,cdc.gov,1304.35538291931,305.671215057373,247.0,152.835607528687,3740.0,2987.0,236314.0,103.50.33.167,Buenos Aires,Argentina,243,1396,52858,Health and Medical Websites
141,142,149,nordstrom.com,510.064840316772,241.647005081177,441.0,120.823502540588,2055.0,2055.0,213140.0,103.50.33.167,Buenos Aires,Argentina,242,1906,211163,E-commerce Platforms
142,143,150,blog.google,635.784864425659,243.578195571899,451.0,121.78909778595,6824.0,3028.0,311339.0,103.50.33.167,Buenos Aires,Argentina,3328,43583,22562772,Other
143,144,151,cnbc.com,966.937780380249,240.89789390564,254.0,120.44894695282,4451.0,1725.0,2094055.0,103.50.33.167,Buenos Aires,Argentina,240,2383,82702,News Websites
